date,state,cases,deaths
3/1/20,California,33,0
3/1/20,New York,1,0
3/1/20,Washington,17,3
3/2/20,California,38,0
3/2/20,New York,1,0
3/2/20,Washington,23,6
3/3/20,California,45,0
3/3/20,New York,2,0
3/3/20,Washington,32,10
3/4/20,California,55,1
3/4/20,New Jersey,1,0
3/4/20,New York,11,0
3/4/20,Washington,47,11
3/5/20,California,67,1
3/5/20,New Jersey,2,0
3/5/20,New York,22,0
3/5/20,Washington,75,11
3/6/20,California,81,1
3/6/20,New Jersey,4,0
3/6/20,New York,44,0
3/6/20,Washington,86,12
3/7/20,California,100,1
3/7/20,New Jersey,4,0
3/7/20,New York,89,0
3/7/20,Washington,110,16
3/8/20,California,112,1
3/8/20,New Jersey,6,0
3/8/20,New York,106,0
3/8/20,Washington,141,19
3/9/20,California,172,2
3/9/20,Louisiana,1,0
3/9/20,New Jersey,11,0
3/9/20,New York,142,0
3/9/20,Washington,179,22
3/10/20,California,179,3
3/10/20,Louisiana,6,0
3/10/20,Michigan,2,0
3/10/20,New Jersey,15,1
3/10/20,New York,173,0
3/10/20,Washington,279,24
3/11/20,California,202,4
3/11/20,Louisiana,13,0
3/11/20,Michigan,2,0
3/11/20,New Jersey,23,1
3/11/20,New York,217,0
3/11/20,Washington,338,29
3/12/20,California,252,4
3/12/20,Louisiana,14,0
3/12/20,Michigan,12,0
3/12/20,New Jersey,29,1
3/12/20,New York,326,0
3/12/20,Washington,419,32
3/13/20,California,320,5
3/13/20,Louisiana,36,0
3/13/20,Michigan,25,0
3/13/20,New Jersey,50,1
3/13/20,New York,421,0
3/13/20,Washington,511,37
3/14/20,California,381,5
3/14/20,Louisiana,77,1
3/14/20,Michigan,33,0
3/14/20,New Jersey,75,2
3/14/20,New York,610,2
3/14/20,Washington,609,40
3/15/20,California,478,6
3/15/20,Louisiana,103,2
3/15/20,Michigan,53,0
3/15/20,New Jersey,98,2
3/15/20,New York,732,6
3/15/20,Washington,675,42
3/16/20,California,588,11
3/16/20,Louisiana,137,3
3/16/20,Michigan,54,0
3/16/20,New Jersey,176,3
3/16/20,New York,950,10
3/16/20,Washington,794,48
3/17/20,California,732,14
3/17/20,Louisiana,196,5
3/17/20,Michigan,65,0
3/17/20,New Jersey,268,3
3/17/20,New York,1374,17
3/17/20,Washington,908,54
3/18/20,California,893,17
3/18/20,Louisiana,280,7
3/18/20,Michigan,80,1
3/18/20,New Jersey,427,5
3/18/20,New York,2382,27
3/18/20,Washington,1026,68
3/19/20,California,1067,19
3/19/20,Louisiana,392,10
3/19/20,Michigan,334,3
3/19/20,New Jersey,735,9
3/19/20,New York,4152,30
3/19/20,Washington,1228,75
3/20/20,California,1283,24
3/20/20,Louisiana,537,10
3/20/20,Michigan,548,4
3/20/20,New Jersey,896,11
3/20/20,New York,7102,57
3/20/20,Washington,1404,83
3/21/20,California,1544,28
3/21/20,Louisiana,763,16
3/21/20,Michigan,787,6
3/21/20,New Jersey,1336,16
3/21/20,New York,10356,80
3/21/20,Washington,1655,95
3/22/20,California,1851,35
3/22/20,Louisiana,837,20
3/22/20,Michigan,1033,9
3/22/20,New Jersey,1914,20
3/22/20,New York,15168,122
3/22/20,Washington,1844,97
3/23/20,California,2240,39
3/23/20,Louisiana,1172,34
3/23/20,Michigan,1324,16
3/23/20,New Jersey,2844,27
3/23/20,New York,20875,159
3/23/20,Washington,2101,110
3/24/20,California,2644,52
3/24/20,Louisiana,1388,46
3/24/20,Michigan,1791,24
3/24/20,New Jersey,3675,44
3/24/20,New York,25665,218
3/24/20,Washington,2469,123
3/25/20,California,3183,67
3/25/20,Louisiana,1795,65
3/25/20,Michigan,2294,43
3/25/20,New Jersey,4402,62
3/25/20,New York,33066,325
3/25/20,Washington,2585,130
3/26/20,California,4060,82
3/26/20,Louisiana,2305,83
3/26/20,Michigan,2878,63
3/26/20,New Jersey,6876,81
3/26/20,New York,38987,432
3/26/20,Washington,3208,151
3/27/20,California,4914,102
3/27/20,Louisiana,2746,119
3/27/20,Michigan,3657,93
3/27/20,New Jersey,8825,108
3/27/20,New York,44635,535
3/27/20,Washington,3770,177
3/28/20,California,5565,121
3/28/20,Louisiana,3315,137
3/28/20,Michigan,4635,111
3/28/20,New Jersey,11124,140
3/28/20,New York,53363,782
3/28/20,Washington,4311,191
3/29/20,California,6266,130
3/29/20,Louisiana,3540,152
3/29/20,Michigan,5486,132
3/29/20,New Jersey,13386,161
3/29/20,New York,59568,965
3/29/20,Washington,4896,207
3/30/20,California,7421,146
3/30/20,Louisiana,4025,186
3/30/20,Michigan,6508,197
3/30/20,New Jersey,16636,199
3/30/20,New York,67174,1224
3/30/20,Washington,5179,221
3/31/20,California,8582,183
3/31/20,Louisiana,5237,240
3/31/20,Michigan,7630,264
3/31/20,New Jersey,18696,267
3/31/20,New York,75832,1550
3/31/20,Washington,5292,226
4/1/20,California,9816,212
4/1/20,Louisiana,6424,273
4/1/20,Michigan,9293,336
4/1/20,New Jersey,22255,355
4/1/20,New York,83889,1941
4/1/20,Washington,5588,249
4/2/20,California,11190,247
4/2/20,Louisiana,9150,310
4/2/20,Michigan,10791,417
4/2/20,New Jersey,25590,539
4/2/20,New York,92770,2653
4/2/20,Washington,6585,272
4/3/20,California,12569,282
4/3/20,Louisiana,10297,370
4/3/20,Michigan,12670,478
4/3/20,New Jersey,29895,647
4/3/20,New York,102870,2935
4/3/20,Washington,6966,293
4/4/20,California,13796,323
4/4/20,Louisiana,12496,412
4/4/20,Michigan,14225,540
4/4/20,New Jersey,34124,847
4/4/20,New York,114996,3568
4/4/20,Washington,7498,318
4/5/20,California,15076,349
4/5/20,Louisiana,13010,477
4/5/20,Michigan,15635,616
4/5/20,New Jersey,37505,917
4/5/20,New York,122911,4161
4/5/20,Washington,7984,344
4/6/20,California,16284,386
4/6/20,Louisiana,14867,512
4/6/20,Michigan,17130,727
4/6/20,New Jersey,41090,1005
4/6/20,New York,130703,4758
4/6/20,Washington,8384,383
